Описание ноутбука;Цена ноутбука
"Ноутбук AMD Ryzen 3 4300U/8 ГБ/512 Гб/15,6""/1920 x 1080/AMD RadeonHP / ";//images.wbstatic.net/c324x432/new/34210000/34212494-1.jpg
Ноутбук AMD Ryzen 3 4300U/8 ГБ/256 Гб/14''/1920x1080/AMD Radeon Graphics/WindowsHP / ;//images.wbstatic.net/c324x432/new/21130000/21138580-1.jpg
Ноутбук AMD Athlon Silver 3050U/4 ГБ/256 Гб/14/1366x768/AMD Radeon Graphics/Windows 10 HomeHP / ;//images.wbstatic.net/c324x432/new/26000000/26009431-1.jpg
"Ноутбук Intel Pentium N5030/4 ГБ/14""/1920x1080/Intel UHD Graphics 600/DOSAsus / ";//images.wbstatic.net/c324x432/new/25920000/25925048-1.jpg
"Ноутбук AMD Athlon Gold 3150U/8 ГБ/256 Гб/15.6""/1920x1080/AMD Radeon/Windows 10HP / ";//images.wbstatic.net/c324x432/new/34210000/34213241-1.jpg
"Ноутбук Intel Celeron N4020/4 ГБ/500 Гб/15,6""/1366x768/Intel UHD Graphics 600/Free DOSHP / ";//images.wbstatic.net/c324x432/new/35780000/35787097-1.jpg
"Ноутбук Intel Pentium Gold 6805/4 ГБ/128 Гб/15.6""/1366 x 768/NVIDIA GeForce MX130/Windows 10 HomeAsus / ";//images.wbstatic.net/c324x432/new/36010000/36012130-1.jpg
"Ноутбук Intel Core i5/8Гб/256 Гб/15,6""/1920 х 1080/RTX 3050 Ti/DOSAcer / ";//images.wbstatic.net/c324x432/new/37760000/37760739-1.jpg
"Ноутбук AMD Athlon Silver 3050U/8 ГБ/1 TB/256 Гб/15.6""/1920 x 1080/AMD Radeon R3/DOSAcer / ";//images.wbstatic.net/c324x432/new/34930000/34938463-1.jpg
"Ноутбук AMD Ryzen 7 4700U/8 ГБ/512 Гб/15.6""/1920 x 1080 (FHD)/AMD Radeon Graphics/Без операционной системыAsus / ";//images.wbstatic.net/c324x432/new/37260000/37264821-1.jpg
"Ноутбук AMD Athlon 300U/8 GB/256 Гб/15,6""/1920x1080 (Full HD)/AMD Radeon Vega 3lenovo / ";//images.wbstatic.net/c324x432/new/29610000/29612473-1.jpg
"Ноутбук AMD Ryzen 5 3500U/4 ГБ/512 Гб/15.6""/1920x1080/AMD Radeon Vega 8/WindowsAcer / ";//images.wbstatic.net/c324x432/new/23130000/23135177-1.jpg
"Ноутбук Intel Celeron N4020/4 ГБ/256 Гб/15.6 ""/1366 x 768/Intel UHD Graphics 600/DOSAsus / ";//images.wbstatic.net/c324x432/new/37950000/37958841-1.jpg
"Ноутбук Intel Core i5 10210U/16 ГБ/512 Гб/14""/1920x1080/Windows 10Huawei / ";//images.wbstatic.net/c324x432/new/27830000/27837875-1.jpg
Ноутбук Apple M1/8 ГБ/256 Гб/13.3''/2560x1600/Apple M1 7-core/macOSApple / ;//images.wbstatic.net/c324x432/new/16860000/16865237-1.jpg
Ноутбук Apple M1/8 ГБ/256 Гб/13.3''/2560x1600/Apple M1 7-core/macOSApple / ;//images.wbstatic.net/c324x432/new/16860000/16865233-1.jpg
"Ноутбук Intel Pentium N5030/4 ГБ/256 Гб/15.6 ""/1366 x 768/Intel UHD Graphics 605/Windows 10 HomeAsus / ";//images.wbstatic.net/c324x432/new/33330000/33336583-1.jpg
Ноутбук Apple M1/8 ГБ/256 Гб/13.3''/2560x1600/Apple M1 7-core/macOSApple / ;//images.wbstatic.net/c324x432/new/16860000/16865235-1.jpg
"Ноутбук Intel Core i3/8 ГБ/256 Гб/15.6""/1920 x 1080/GeForce MX330/Windows 10Acer / ";//images.wbstatic.net/c324x432/new/31200000/31207635-1.jpg
"Ноутбук 8 ГБ/15.6""/1920x1080/Intel UHD Graphics 600/Windows 10 ProEchips / ";//images.wbstatic.net/c324x432/new/32190000/32194140-1.jpg
"Ноутбук Intel Core i3 1125G4/8 ГБ/512 Гб/15,6""/1920 x 1080/Intel UHD Graphics/Windows 10 ДомашняяHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 3 5300U/8 ГБ/512 Гб/14""/1920x1080/AMD Radeon/noOSlenovo / "; //static.wbstatic.net/i/blank.gif
Ноутбук AMD Athlon Silver 3050U/8 ГБ/256 Гб/15.6''/1920x1080/AMD Radeon GraphicsAcer / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i3-1115G4/8 GB/512 Гб/14""/1920x1080 (Full HD)/Intel UHD Graphics/Windows 10lenovo / "; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Athlon Gold 3150U/8 ГБ/256 Гб/15.6""/1920 x 1080/AMD Radeon Graphics/Windows 10 HomeHP / "; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Pentium 6405U/4 ГБ/256 Гб/15.6''/1920x1080/Intel UHD Graphics 610/DOSHP / ; //static.wbstatic.net/i/blank.gif
Ноутбук AMD Ryzen 7 3700U/16 ГБ/512 Гб/15,6/AMD Radeon Vega 8Honor / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 1135G7/8 ГБ/512 Гб/14""/1920 x 1080/Intel Iris Xe Graphics/Windows 10Honor / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 1135G7/8 ГБ/512 Гб/14""/1920 x 1080/DOSlenovo / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i7 1165G7/16 ГБ/512 Гб/14""/1920 x 1080/Intel Iris Xe Graphics/Windows 10Honor / "; //static.wbstatic.net/i/blank.gif
"Ноутбук 8 ГБ/15.6""/1920x1080/Intel UHD Graphics 600/Windows 10 ProEchips / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 11400F/8 ГБ/512 Гб/15.6 ""/1920х1080/NVIDIA GeForce RTX 3050/Free DOSMSI / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Pentium Gold 6805/4 ГБ/256 Гб/15.6 ""/1366 x 768/NVIDIA GeForce MX130/Windows 10 HomeAsus / "; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i3 1115G4/8 ГБ/256 Гб/13.3''/1920 x 1080/Intel Iris Xe Graphics/WindowsAsus / ; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 7 4800H/16 ГБ/512 Гб/15.6""/1920x1080/AMD Radeon RX 5500M/WindowsMSI / "; //static.wbstatic.net/i/blank.gif
"Ноутбук 8 ГБ/15.6""/1920x1080/Intel UHD Graphics 600/Windows 10 ProEchips / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i3 1005G1/4/1000 Гб/128 Гб/15.6 ""/1920х1080/Intel UHD Graphics/noOSlenovo / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Pentium N5030/8 ГБ/256 Гб/15.6""/1920x1080/Intel UHD Graphics 605/EndlessAcer / "; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i5 1035G1/8 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce MX130/WindowsAsus / ; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i5 10300H/8 ГБ/256 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1650/Windowslenovo / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Celeron N4020/4 ГБ/128 Гб/15.6""/1366 x 768/Intel UHD Graphics 600/Windows 10 HomeAsus / "; //static.wbstatic.net/i/blank.gif
Ноутбук 8 ГБ/256 Гб/13.3''/2560x1600/macOSApple / ; //static.wbstatic.net/i/blank.gif
Ноутбук AMD Ryzen 7 4700U/8 ГБ/256 Гб/14''/1920 x 1080/AMD Radeon Graphics/Windows 10 HomeMSI / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 10210U/16 ГБ/512 Гб/13""/3000x2000/Windows 10 Домашняя 64Huawei / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Celeron N3350/4/14.1""/1920x1080/Windows 10DIGMA / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 1035G1/8 ГБ/512 Гб/14""/1920 x 1080/Intel UHD Graphics/Windos 10 HomeAsus / "; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i5-1135G7/12 ГБ/512 Гб/17.3''/1920x1080/DOSlenovo / ; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Athlon/4/128 Гб/15,6""/1920 x 1080/AMD Radeon/Windows 10 HomeHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 1135G7/8 ГБ/512 Гб/14""/1920 x 1080/Intel Iris Xe Graphics/Windows 10 Homelenovo / "; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Atom Z3735F/2 ГБ/13.3''/1920x1080/Intel HD Graphics/WindowsIrbis / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Pentium Gold 7505/4 ГБ/256 Гб/15,6""/1920 х 1080/Intel UHD Graphics/Windows 10 HomeHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Pentium Gold 6405U/4 GB/512 Гб/15,6""/1920х1080/Intel UHD Graphics/Windows 10HP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 10210U/8 ГБ/512 Гб/15.6 ""/1920 x 1080/NVIDIA GeForce MX130/DOSHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Pentium Gold 7505/8 ГБ/256 Гб/14""/1920 x 1080/DOSlenovo / "; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i5 10300H/8 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1650Ti/DOSlenovo / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i3 10110U/8 ГБ/256 Гб/15""/1920 x 1080/Intel UHD Graphics/Windows 10 Home 64Honor / "; //static.wbstatic.net/i/blank.gif
Ноутбук Apple M1/8 ГБ/512 Гб/13.3''/2560x1600/Apple M1 8-core/macOSApple / ; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Celeron N3350Intel Celeron N3350/4/11.6''/1920x1080/Windows 10DIGMA / ; //static.wbstatic.net/i/blank.gif
Ноутбук Ryzen 7 5700U/16/512 GB/15,6/1920x1080/AMD Radeon Vega 8/Windos 10 HomeHP / ; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i5 10300H/8 ГБ/1000 Гб/256 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1650Ti/DOSMSI / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i3 1005G1/8/256 Гб/14""/1920x1080/Intel UHD Graphics/Windows 10 HomeAsus / "; //static.wbstatic.net/i/blank.gif
Ноутбук AMD Athlon 300U/4 ГБ/128 Гб/15.6''/1920x1080/AMD Radeon Vega 3/DOSlenovo / ; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 5 5600H/8 ГБ/512 Гб/15.6 ""/1920х1080/AMD Radeon RX 5500M/Free DOSMSI / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i3 1115G4/4 ГБ/256 Гб/15.6 ""/1920 x 1080/Intel UHD Graphics/DOSlenovo / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Pentium Gold 7505/8 ГБ/256 Гб/14""/1920 x 1080/Windows 10lenovo / "; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Atom x5 Z8350/2/10.1/1920x1080DIGMA / ; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 3 3200U/8 ГБ/256 Гб/15.6""/1366x768/AMD Radeon Vega 3/Windows 10 Homelenovo / "; //static.wbstatic.net/i/blank.gif
Ноутбук Apple M1/8 ГБ/512 Гб/13.3''/2560x1600/Apple M1 8-core/macOSApple / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 5257U/8 ГБ/256 Гб/15.6""/1920x1080/Intel HD Graphics 6000/WindowsEchips / "; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 3 3250U/4 ГБ/512 Гб/15.6""/1920x1080/AMD Radeon Vega 3/WindowsAcer / "; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Pentium/4 ГБ/128 GB/15.6/1366x768/NVIDIA GeForce® MX130/Windows 10 HomeAsus / ; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Athlon Gold 3150U/4 ГБ/128 Гб/14""/1920 х 1080/AMD Radeon HD/Windos 10 HomeHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук N5030/4/256 Гб/14""/1920 x 1080/UHD GraphicsHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 9300H/12 ГБ/512 Гб/15,6""/1920x1080 FHD/NVIDIA GeForce GTX 1650/WindowsAcer / "; //static.wbstatic.net/i/blank.gif
Ноутбук 8 ГБHP / ; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i3/8/17.3''/1600 x 900/UHD Graphics/Windows 10HP / ; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 7 4700U/8 ГБ/256 Гб/15,6""/1920 x 1080/AMD Radeon HD/Windows 10 ДомашняяHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i7/16 ГБ/512 GB/15.6""/1920 x 1080/Windows 10 HomeAsus / "; //static.wbstatic.net/i/blank.gif
НоутбукHP / ; //static.wbstatic.net/i/blank.gif
НоутбукHP / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5-8259U/8/512/14""/2160 x 1440/Intel® Iris® Plus 655, до 1,2 МГц/Windows 10/Windos 10 Home/Windows 10 64-bitCHUWI / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i3 1115G4/8 ГБ/256 Гб/14""/1920 x 1080/Intel UHD Graphics/Windows 10 HomeAsus / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i7/4 ГБ/512 Гб/15.6 ""/1920 x 1080 (FHD)/GeForce MX330/Windows 10Acer / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 10210U/16 ГБ/512 Гб/16.1""/1920x1080/NVIDIA GeForce MX350/WindowsHonor / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 1135G7/16 ГБ/512 Гб/15""/1920 x 1080/Intel Iris Xe Graphics/Windows 10Honor / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Pentium N5030/4 ГБ/256 Гб/15.6""/1920 x 1080/noOSAcer / "; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 5 4500U/8 ГБ/256 Гб/15.6 ""/1920 x 1080/AMD Radeon Graphics/Windows 10Asus / "; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i5-1135G7/8 ГБ/256 Гб/14''/1920x1080/Intel Iris Xe Graphics/WindowsAsus / ; //static.wbstatic.net/i/blank.gif
Ноутбук AMD Ryzen 7 4800H/8 ГБ/512 Гб/DOSMSI / ; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i5 11400F/8 GB/512 GB/17.3''/1920 x 1080/Windows 10 HomeAsus / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i7-1065G7/8 ГБ/256 Гб/15,6""/1920 x 1080/Intel UHD Graphics/Windows 10 ProHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Celeron N4020/8 ГБ/256 Гб/15,6""/1920 x 1080/Intel UHD Graphics 600/Free DOSHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i3/1 Тб/15.6""/1920 x 1080/Windows 10 Homelenovo / "; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 7 5800X/8 ГБ/512 Гб/15.6 ""/1920х1080/AMD Radeon RX 5500M/Free DOSMSI / "; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 5 4500U/8Гб/256 Гб/15.6 ""/1920х1080/AMD Radeon/Free DOSMSI / "; //static.wbstatic.net/i/blank.gif
"Ноутбук 16 ГБ/512 Гб/13""/2560x1600/Intel Iris Plus Graphics/macOSApple / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5/12 ГБ/512 Гб/15.6""/1920 x 1080/GeForce MX330/Windows 10Acer / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Pentium Gold/4/256/14""/1920 x 1080/UHD Graphics/DOSHP / "; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Athlon/4 GB/128 GB/15.6""/1366x768/Windows 10 HomeAsus / "; //static.wbstatic.net/i/blank.gif
Ноутбук Apple M1/8 ГБ/512 Гб/13.3''/2560x1600/Apple M1 8-core/macOSApple / ; //static.wbstatic.net/i/blank.gif
